年份,总金额,金额环比%
2018,2119473.81,
2019,2655702.47,25.30008426950084
2020,2934985.59,10.516355772339196
2021,3274524.59,11.568676901067851
2022,3248533.47,-0.7937372062916664
2023,3247758.1,-0.023868308797203548
2024,3528933.6,8.657525940740475
2025,3443528.71,-2.420133096298557
